1635236500.732619
1635240934.843308
1635241834.52075
1635243854.532432
1635250664.060803,0.44
1635255016.691361,0.41
1635274043.975455,1.45
1635291059.06952,0.75
1635296741.041463,0.39
1635300840.04819,1.54
1635308514.390723,1.53
1635315582.609503,1.64
1635324368.509443,0.82
1635331011.71144,1.13
1635336766.347687,0.44
1635350443.385577,0.41
1635377036.38871,1.09
1635379689.482666,0.42
1635388263.019989,1.68
1635403575.434511,0.41
1635412288.615574,1.27
1635417125.913202,1.69
1635426216.637363,0.97
1635460223.017576,1.55
1635465729.15908,0.38
1635469110.42796,1.53
1635471433.504509,0.44
1635476267.188869,0.41
1635487349.281158,0.4
1635493268.376977,0.39
1635499421.054934,0.42
1635500400.234897,1.53
1635503824.167257,0.64
1635507964.626305,0.38
1635519059.369289,0.38
1635554472.167726,1.02,155
1635556205.658376,0.4,169
1635558650.332661,0.35,48
1635558701.039129,0.42,107
1635565288.98787,0.8,150
1635578524.77041,1.33,155
1635592147.072158,0.44,157
1635594298.782188,0.57,178
1635596216.178544,1.3,169
1635610565.658998,0.37,148
1635642213.027083,0.36,177
1635643178.334904,0.39,199
1635644305.952973,1.54,154
1635650305.928901,0.38,154
1635653140.188294,0.42,193
1635676972.630648,1.53,156
1635678385.132613,0.44,176
1635680617.756073,0.71,153
1635691836.360979,1.1,152
1635722782.594022,1.53,152
1635725823.51121,1.31,154
1635730072.652388,0.39,170
1635745053.586623,0.39,158
1635754620.539719,1.38,87
1635754709.843587,0.41,48
1635754760.695245,0.42,6
1635755867.831194,1.51,154
1635756780.594092,0.42,183
1635759358.132343,1.53,103
1635759463.80717,0.43,42
1635770503.247835,0.43,156
1635773188.979641,0.39,156
1635808583.286476,0.94,150
1635812562.434358,1.53,191
1635813483.022423,1.63,193
1635832624.846162,0.43,169
1635837342.510049,0.42,144
1635845955.210335,1.05,159
1635849949.228611,0.43,150
1635854243.988506,1.3,146
1635863238.207957,1.71,148
1635894501.474314,1.67,167
1635898274.532775,0.42,195
1635899464.152871,0.4,183
1635900846.366478,1.37,152
1635906503.830936,1.4,144
1635920198.115205,1.28,159
1635926590.028766,1.67,148
1635929826.58838,1.35,144
1635931141.462953,0.4,231
1635931720.523404,1.55,259
1635934802.230736,0.43,161
1635943542.763855,0.41,157
1635949771.719914,1.42,168
1635982004.331704,1.36,154
1636000322.932877,0.55,146
1636003082.121212,0.41,163
1636009122.470842,0.43,171
1636015680.041244,0.43,148
1636019112.499254,1.49,184
1636023904.260071,0.43,208
1636024470.718491,1.06,226
1636025310.178437,1.49,199
1636032545.46211,0.42,152
1636041327.23711,1.34,146
1636069631.778043,0.88,152
1636079671.187134,0.4,166
1636091094.130233,0.39,154
1636100116.093399,1.29,148
1636102434.613554,0.43,174
1636103417.5151,0.41,176
1636105331.091693,0.37,174
1636109228.403779,1.26,150
1636113522.479948,1.38,199
1636114339.308098,0.95,182
1636115777.256908,1.67,151
1636122424.097294,0.45,168
1636134848.587091,1.12,146
1636159498.077752,0.39,150
1636161452.992179,1.53,197
1636162802.393462,1.63,144
1636168470.666534,1.52,158
1636181813.087938,1.44,170
1636187595.755466,0.43,146
1636196772.914501,1.38,153
1636199248.565728,0.39,180
1636201449.876964,1.18,172
1636207952.504574,1.53,168
1636215029.970525,0.61,154
1636240749.449719,0.42,160
1636247630.119509,0.43,148
1636249912.532528,1.29,150
1636253282.580231,0.54,182
1636268899.282668,1.53,152
1636278932.039427,1.51,164
1636286295.931887,0.43,150
1636294637.360858,0.44,146
1636323394.202334,0.44,152
1636328122.018113,1.53,180
1636330193.636884,0.42,168
1636345314.737073,1.22,203
1636346125.141705,1.53,185
1636350426.3288,0.4,146
1636354206.002202,0.44,148
1636359891.63012,0.42,146
1636361409.325527,0.42,195
1636363029.970344,0.41,175
1636364042.948518,0.72,152
1636365837.968486,0.41,196
1636366609.095876,1.22,164
1636376899.866397,1.55,184
1636378379.769465,0.39,168
1636413707.914828,0.44,160
1636417096.116466,1.53,172
1636424624.826776,1.53,201
1636428915.692104,0.4,179
1636442924.796821,1.07,148
1636449839.073257,0.43,158
1636450779.24903,1.53,176
1636454638.294357,0.41,164
1636457723.761584,1.53,164
1636464281.389791,0.39,153
1636502606.366416,0.44,154
1636511003.993588,0.43,166
1636511172.94318,0.41,10
1636512094.775653,1.69,148
1636526257.048442,1.68,152
1636530309.553072,0.89,152
1636535734.784189,1.61,158
1636540055.053333,1.36,176
1636542505.773381,1.48,168
1636556056.742878,0.38,150
1636588009.72997,0.74,148
1636593483.335768,1.49,181
1636600782.95721,1.35,169
1636610688.468071,1.71,156
1636614629.840657,1.19,156
1636619521.3636,0.81,20
1636619543.747924,0.38,150
1636619696.57229,0.42,20
1636620329.615714,0.36,26
1636620358.088343,0.34,166
1636621976.094407,1.19,186
1636622922.562472,0.63,137
1636623068.629523,0.34,38
1636623111.294023,0.34,4
1636625867.079925,0.39,148
1636633472.423382,0.46,156
1636639726.103301,1.07,160
1636671270.738253,1.53,175
1636672275.121989,0.4,146
1636678919.685214,0.44,153
1636696189.265755,0.42,152
1636701470.523257,0.4,152
1636707871.155977,0.43,164
1636710538.965549,0.39,211
1636711376.047408,1.53,46
1636711424.808705,0.42,159
1636717143.009287,0.43,164
1636728001.426057,1.63,148
1636758672.279015,0.41,185
1636764932.402385,1.17,196
1636766015.731414,1.68,162
1636773866.563324,1.3,140
1636783102.005434,0.44,144
1636785699.813037,1.4,188
1636795986.119078,1.53,156
1636800707.136174,1.21,142
1636806263.223011,1.71,153
1636810448.219198,1.28,116
1636810566.290911,0.41,36
1636844530.126068,0.42,146
1636850317.070845,1.53,190
1636855965.777587,0.39,174
1636857708.708184,1.31,172
1636859969.530967,1.53,172
1636867075.939462,0.39,194
1636870695.047489,1.65,144
1636873230.271591,1.53,182
1636880744.004682,0.34,164
1636882758.367563,0.43,150
1636883970.715596,1.01,156
1636899546.358978,0.4,146
1636932240.072827,0.42,144
1636933925.505793,0.39,148
1636935681.164841,1.7,170
